Date,Close Price,Open,High,Low,Vol.,Change %
13-Sep-18,6128.7,"6,175.90","6,175.90","6,126.70",541.97M,-0.76%
14-Sep-18,6165.3,"6,128.70","6,173.30","6,128.70",537.92M,0.60%
17-Sep-18,6185,"6,165.30","6,192.60","6,142.30",496.06M,0.32%
18-Sep-18,6161.5,"6,185.00","6,185.00","6,149.10",587.54M,-0.38%
19-Sep-18,6190,"6,161.50","6,197.50","6,161.50",693.36M,0.46%
20-Sep-18,6169.5,"6,190.00","6,196.70","6,163.70",877.51M,-0.33%
21-Sep-18,6194.6,"6,169.50","6,209.60","6,169.50",1.04B,0.41%
24-Sep-18,6186.9,"6,194.60","6,195.20","6,167.70",508.78M,-0.12%
25-Sep-18,6185.9,"6,186.90","6,192.20","6,166.80",559.05M,-0.02%
26-Sep-18,6192.3,"6,185.90","6,210.50","6,182.50",578.76M,0.10%
27-Sep-18,6181.2,"6,192.30","6,197.10","6,179.80",575.59M,-0.18%
28-Sep-18,6207.6,"6,181.20","6,234.40","6,181.20",693.51M,0.43%
1-Oct-18,6172.3,"6,207.60","6,207.60","6,154.30",267.33M,-0.57%
2-Oct-18,6126.2,"6,172.30","6,180.30","6,118.40",542.12M,-0.75%
3-Oct-18,6146.1,"6,126.20","6,151.40","6,126.20",479.38M,0.32%
4-Oct-18,6176.3,"6,146.10","6,195.20","6,146.10",690.07M,0.49%
5-Oct-18,6185.5,"6,176.30","6,199.20","6,160.60",469.84M,0.15%
8-Oct-18,6100.3,"6,177.40","6,177.40","6,100.30",463.60M,-1.38%
9-Oct-18,6041.1,"6,100.30","6,101.80","6,033.60",557.13M,-0.97%
10-Oct-18,6049.8,"6,041.10","6,057.80","6,022.70",594.94M,0.14%
11-Oct-18,5883.8,"6,049.80","6,049.80","5,883.80",853.70M,-2.74%
12-Oct-18,5895.7,"5,883.80","5,904.00","5,846.70",815.56M,0.20%
15-Oct-18,5837.1,"5,895.70","5,895.70","5,796.00",593.34M,-0.99%
16-Oct-18,5869.9,"5,837.10","5,884.70","5,837.10",584.04M,0.56%
17-Oct-18,5939.1,"5,869.90","5,940.20","5,869.90",576.12M,1.18%
18-Oct-18,5942.4,"5,939.10","5,942.80","5,914.90",575.87M,0.06%
19-Oct-18,5939.5,"5,942.40","5,942.40","5,883.30",534.23M,-0.05%
22-Oct-18,5904.9,"5,939.50","5,939.50","5,887.70",504.79M,-0.58%
23-Oct-18,5843.1,"5,904.90","5,905.40","5,843.10",595.14M,-1.05%
24-Oct-18,5829,"5,843.10","5,857.10","5,819.40",639.11M,-0.24%
25-Oct-18,5664.1,"5,829.00","5,829.00","5,664.10",854.55M,-2.83%
26-Oct-18,5665.2,"5,664.10","5,700.20","5,624.60",849.83M,0.02%
29-Oct-18,5728.2,"5,665.20","5,737.60","5,665.20",550.97M,1.11%
30-Oct-18,5805.1,"5,728.20","5,805.10","5,691.70",660.29M,1.34%
31-Oct-18,5830.3,"5,805.10","5,830.30","5,789.50",755.04M,0.43%
1-Nov-18,5840.8,"5,830.30","5,877.20","5,820.70",712.49M,0.18%
2-Nov-18,5849.2,"5,840.80","5,849.20","5,809.20",639.47M,0.14%
5-Nov-18,5818.1,"5,849.20","5,857.40","5,817.70",521.08M,-0.53%
6-Nov-18,5875.2,"5,855.90","5,877.20","5,818.10",383.63M,0.98%
7-Nov-18,5896.9,"5,875.20","5,896.90","5,844.60",547.65M,0.37%
8-Nov-18,5928.2,"5,896.90","5,935.50","5,896.90",563.11M,0.53%
9-Nov-18,5921.8,"5,928.20","5,933.50","5,896.40",545.71M,-0.11%
12-Nov-18,5941.3,"5,921.80","5,941.30","5,884.60",587.79M,0.33%
13-Nov-18,5834.2,"5,941.30","5,941.30","5,824.40",656.72M,-1.80%
14-Nov-18,5732.8,"5,834.20","5,837.30","5,728.60",715.08M,-1.74%
15-Nov-18,5736,"5,732.80","5,753.50","5,686.80",662.95M,0.06%
16-Nov-18,5730.6,"5,736.00","5,757.90","5,726.50",496.27M,-0.09%
19-Nov-18,5693.7,"5,730.60","5,731.30","5,682.40",545.24M,-0.64%
20-Nov-18,5671.8,"5,693.70","5,693.70","5,635.50",621.91M,-0.38%
21-Nov-18,5642.8,"5,671.80","5,671.80","5,594.00",746.69M,-0.51%
22-Nov-18,5691.3,"5,642.80","5,695.40","5,642.80",651.88M,0.86%
23-Nov-18,5716.2,"5,691.30","5,724.30","5,678.30",430.99M,0.44%
26-Nov-18,5671.6,"5,716.20","5,716.20","5,655.60",631.17M,-0.78%
27-Nov-18,5728.3,"5,671.60","5,728.30","5,670.70",638.22M,1.00%
28-Nov-18,5725.1,"5,728.30","5,737.60","5,706.70",694.82M,-0.06%
29-Nov-18,5758.4,"5,725.10","5,778.70","5,725.10",638.93M,0.58%
30-Nov-18,5667.2,"5,758.40","5,758.40","5,667.20",1.22B,-1.58%
3-Dec-18,5771.2,"5,667.20","5,771.20","5,667.20",645.73M,1.84%
4-Dec-18,5713.1,"5,771.20","5,771.20","5,713.10",663.49M,-1.01%
5-Dec-18,5668.4,"5,713.10","5,713.10","5,610.00",668.29M,-0.78%
6-Dec-18,5657.7,"5,668.40","5,668.40","5,621.40",605.22M,-0.19%
7-Dec-18,5681.5,"5,657.70","5,706.40","5,653.50",584.45M,0.42%
10-Dec-18,5552.5,"5,681.50","5,681.50","5,549.30",682.34M,-2.27%
11-Dec-18,5575.9,"5,555.30","5,587.70","5,551.50",654.61M,0.42%
12-Dec-18,5653.5,"5,575.90","5,654.90","5,575.90",723.47M,1.39%
13-Dec-18,5661.6,"5,653.50","5,682.10","5,636.90",744.97M,0.14%
14-Dec-18,5602,"5,661.60","5,665.20","5,588.60",660.91M,-1.05%
17-Dec-18,5658.3,"5,602.00","5,665.60","5,585.10",602.83M,1.00%
18-Dec-18,5589.5,"5,658.30","5,658.30","5,576.80",665.49M,-1.22%
19-Dec-18,5580.6,"5,589.50","5,589.50","5,555.20",713.54M,-0.16%
20-Dec-18,5505.8,"5,580.60","5,587.60","5,505.80",1.12B,-1.34%
21-Dec-18,5467.6,"5,505.80","5,543.10","5,426.60",1.38B,-0.69%
24-Dec-18,5493.8,"5,467.60","5,496.70","5,410.20",251.50M,0.48%
27-Dec-18,5597.2,"5,493.80","5,597.20","5,493.80",458.98M,1.88%
28-Dec-18,5654.3,"5,597.20","5,654.30","5,590.70",372.36M,1.02%
31-Dec-18,5646.4,"5,654.30","5,700.60","5,646.40",260.15M,-0.14%
2-Jan-19,5557.8,"5,646.40","5,652.50","5,552.00",350.17M,-1.57%
3-Jan-19,5633.4,"5,557.80","5,646.50","5,557.80",451.33M,1.36%
4-Jan-19,5619.4,"5,633.40","5,633.40","5,568.70",475.82M,-0.25%
7-Jan-19,5683.2,"5,619.40","5,716.20","5,619.40",439.61M,1.14%
8-Jan-19,5722.4,"5,683.20","5,733.70","5,666.60",548.87M,0.69%
9-Jan-19,5778.3,"5,722.40","5,781.40","5,722.40",554.14M,0.98%
10-Jan-19,5795.3,"5,778.30","5,795.30","5,755.40",528.26M,0.29%
11-Jan-19,5774.6,"5,795.30","5,808.60","5,774.60",398.46M,-0.36%
14-Jan-19,5773.4,"5,774.60","5,801.50","5,756.90",374.05M,-0.02%
15-Jan-19,5814.6,"5,773.40","5,814.60","5,773.40",435.68M,0.71%
16-Jan-19,5835.2,"5,814.60","5,835.20","5,805.00",549.01M,0.35%
17-Jan-19,5850.1,"5,835.20","5,856.40","5,831.00",485.98M,0.26%
18-Jan-19,5879.6,"5,850.10","5,888.10","5,850.10",450.67M,0.50%
21-Jan-19,5890.4,"5,879.60","5,911.80","5,879.60",376.39M,0.18%
22-Jan-19,5858.8,"5,890.40","5,890.40","5,851.30",361.01M,-0.54%
23-Jan-19,5843.7,"5,858.80","5,862.00","5,831.40",518.40M,-0.26%
24-Jan-19,5865.7,"5,844.40","5,865.70","5,839.70",540.67M,0.38%
25-Jan-19,5905.6,"5,865.70","5,915.20","5,864.00",658.25M,0.68%
29-Jan-19,5874.2,"5,905.60","5,907.60","5,861.60",705.59M,-0.53%
30-Jan-19,5886.7,"5,874.20","5,912.40","5,865.90",684.72M,0.21%
31-Jan-19,5864.7,"5,886.70","5,912.60","5,864.70",947.63M,-0.37%
1-Feb-19,5862.8,"5,864.70","5,881.60","5,857.40",723.83M,-0.03%
4-Feb-19,5891.2,"5,862.80","5,899.20","5,848.90",604.24M,0.48%
5-Feb-19,6005.9,"5,891.20","6,039.20","5,891.20",736.65M,1.95%
6-Feb-19,6026.1,"6,005.90","6,042.50","5,990.50",582.15M,0.34%
7-Feb-19,6092.5,"6,026.10","6,105.90","6,026.10",638.85M,1.10%
8-Feb-19,6071.5,"6,092.50","6,094.70","6,054.10",616.48M,-0.34%
11-Feb-19,6060.8,"6,071.50","6,084.90","6,028.60",506.15M,-0.18%
12-Feb-19,6079.1,"6,060.80","6,093.20","6,053.40",687.87M,0.30%
13-Feb-19,6063.6,"6,079.10","6,094.00","6,053.00",664.54M,-0.25%
14-Feb-19,6059.4,"6,063.60","6,093.60","6,046.70",728.11M,-0.07%
15-Feb-19,6066.1,"6,059.40","6,076.10","6,048.90",662.25M,0.11%
18-Feb-19,6089.8,"6,066.10","6,115.70","6,066.10",607.56M,0.39%
19-Feb-19,6106.9,"6,089.80","6,119.50","6,081.40",636.47M,0.28%
20-Feb-19,6096.5,"6,106.90","6,125.80","6,077.50",676.11M,-0.17%
21-Feb-19,6139.2,"6,096.50","6,153.60","6,083.60",859.63M,0.70%
22-Feb-19,6167.3,"6,139.20","6,176.20","6,126.50",788.39M,0.46%
25-Feb-19,6186.3,"6,167.30","6,191.10","6,158.80",701.01M,0.31%
26-Feb-19,6128.4,"6,186.30","6,186.30","6,106.00",754.05M,-0.94%
27-Feb-19,6150.3,"6,128.40","6,156.40","6,127.70",726.03M,0.36%
28-Feb-19,6169,"6,150.30","6,173.10","6,135.40",805.91M,0.30%
1-Mar-19,6192.7,"6,169.00","6,209.90","6,164.90",715.51M,0.38%
4-Mar-19,6217.4,"6,192.70","6,240.10","6,192.70",575.65M,0.40%
5-Mar-19,6199.3,"6,217.40","6,217.40","6,175.70",788.40M,-0.29%
6-Mar-19,6245.6,"6,199.30","6,246.50","6,199.30",782.45M,0.75%
7-Mar-19,6263.9,"6,245.60","6,270.90","6,243.60",765.36M,0.29%
8-Mar-19,6203.8,"6,263.90","6,263.90","6,203.60",646.24M,-0.96%
11-Mar-19,6180.2,"6,203.80","6,203.80","6,171.90",498.15M,-0.38%
12-Mar-19,6174.8,"6,180.20","6,222.90","6,174.80",622.28M,-0.09%
13-Mar-19,6161.2,"6,174.80","6,174.80","6,127.30",707.10M,-0.22%
14-Mar-19,6179.6,"6,161.20","6,181.50","6,153.40",555.24M,0.30%
15-Mar-19,6175.2,"6,179.60","6,197.40","6,171.20",1.17B,-0.07%
18-Mar-19,6190.5,"6,175.20","6,201.50","6,167.30",578.02M,0.25%
19-Mar-19,6184.8,"6,190.50","6,206.30","6,174.00",526.63M,-0.09%
20-Mar-19,6165.3,"6,184.80","6,185.50","6,155.20",732.04M,-0.32%
